stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
13150,13150,TYLER @ JEFFERSON - N - NS,,32.742961,-96.837525,,,1
13151,13151,TYLER @ 10TH - N - NS,,32.745027,-96.837509,,,1
13152,13152,TYLER @ 9TH - N - NS,,32.746246,-96.837489,,,1
13153,13153,TYLER @ 8TH - N - NS,,32.747896,-96.837544,,,1
13154,13154,TYLER @ DAVIS - N - NS,,32.749303,-96.837534,,,1
13155,13155,TYLER @ WINSTON - N - NS,,32.751178,-96.837403,,,0
13156,13156,TYLER @ CANTY - N - FS,,32.752882,-96.837319,,,1
13157,13157,TYLER @ STEWART - N - NS,,32.755034,-96.837346,,,0
13158,13158,TYLER @ SALMON - N - NS,,32.757032,-96.837393,,,0
13159,13159,SYLVAN @ RAINBOW - N - FS,,32.760141,-96.835514,,,0
13161,13161,SYLVAN @ EVERGREEN HILLS - N - NS,,32.764235,-96.835598,,,0
13162,13162,SYLVAN @ KESSLER - N - NS,,32.766436,-96.835497,,,0
13164,13164,COMMERCE @ LANGFORD - E - NS,,32.774247,-96.825239,,,1
13165,13165,COMMERCE @ LEW STERRETT CROSSWALK - W - NS,,32.776756,-96.814362,,,1
13166,13166,SYLVAN @ FT WORTH - S - FS,,32.769161,-96.835876,,,1
13168,13168,SYLVAN @ EVERGREEN HILLS - S - NS,,32.764077,-96.835829,,,0
13170,13170,SYLVAN @ RAINBOW - S - NS,,32.760384,-96.835729,,,0
13171,13171,TYLER @ COLORADO - S - FS,,32.758319,-96.836815,,,0
13172,13172,TYLER @ SALMON - S - NS,,32.757198,-96.837593,,,0
13173,13173,TYLER @ STEWART - S - NS,,32.755191,-96.837555,,,0
13174,13174,TYLER @ EVERTS - S - NS,,32.753346,-96.837591,,,0
13175,13175,POLK @ CANTY - S - FS,,32.75204,-96.837647,,,0
13176,13176,POLK @ DAVIS - S - NS,,32.749694,-96.839417,,,0
13177,13177,POLK @ 8TH - S - NS,,32.748256,-96.839463,,,0
13178,13178,POLK @ 9TH - S - MB,,32.746837,-96.839475,,,0
13179,13179,POLK @ 10TH - S - NS,,32.74525,-96.83947,,,0
13180,13180,POLK @ JEFFERSON - S - NS,,32.743362,-96.839478,,,1
13181,13181,POLK @ 12TH - S - NS,,32.741699,-96.839486,,,0
13182,13182,POLK CUTOFF @ PAGE - S - NS,,32.740379,-96.839013,,,0
13183,13183,TYLER @ PEMBROKE - S - NS,,32.738563,-96.837693,,,0
13184,13184,TYLER @ BURLINGTON - S - NS,,32.73698,-96.837685,,,1
13185,13185,TYLER @ CLARENDON - S - NS,,32.73545,-96.83767,,,0
13188,13188,VERNON @ ELMDALE - S - NS,,32.730644,-96.836953,,,0
13189,13189,VERNON @ PIONEER - S - NS,,32.72805,-96.836838,,,0
13190,13190,VERNON @ FERNDALE - S - NS,,32.726314,-96.836815,,,0
13191,13191,VERNON @ WILBUR - S - NS,,32.722591,-96.836853,,,0
13192,13192,PINELAND @ FAIR OAKS - E - MB,,32.876041,-96.755295,,,1
13193,13193,FAIR OAKS @ PHOENIX - S - NS,,32.874099,-96.756707,,,1
13195,13195,RIDGECREST @ HEMLOCK- E - MB,,32.870425,-96.75944,,,0
13196,13196,RIDGECREST @ EASTRIDGE - E - MB1,,32.869297,-96.758052,,,1
13199,13199,RIDGECREST @ EASTRIDGE - E - MB3,,32.867338,-96.75548,,,0
13201,13201,RIDGECREST @ EASTRIDGE - E - NS,,32.866114,-96.750639,,,1
13203,13203,MELODY @ HEMLOCK - W - MB1,,32.86399,-96.751311,,,0
